# r Xi(r) Xi(r)-ShotNoise
# z = 1
0.000000000000000000e+00 6.960109252929687500e+02 -3.315161065116905374e+05
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
7.812500000000000000e+00 -1.099578539530436272e+00 -3.322132170155230560e+05
nan nan nan
nan nan nan
nan nan nan
1.324302225315824444e+02 -1.250135814044492540e-02 -3.322121299383416190e+05
1.334924187660217285e+02 -9.265419716636339245e-03 -3.322121267024032422e+05
1.346097555160522461e+02 1.562810440858205044e-02 -3.322121018088791170e+05
1.354048697049500447e+02 -1.325792367341088393e-02 -3.322121306949071586e+05
1.365917608087713120e+02 7.295938603805772818e-03 -3.322121101410448900e+05
1.374142608642578125e+02 1.745022088289260864e-02 -3.322120999867626233e+05
1.384569469949473444e+02 1.054109006688214688e-02 -3.322121068958934629e+05
1.395848964344371552e+02 2.647394483739679352e-03 -3.322121147895890172e+05
1.405683982155539695e+02 -8.711952151674213357e-03 -3.322121261489356402e+05
1.414751118627087862e+02 1.409378819081975182e-02 -3.322121033431953401e+05
1.425267701990464104e+02 2.380983063987657331e-03 -3.322121150560004171e+05
1.436091273381159965e+02 -2.112050137968144933e-02 -3.322121385574848973e+05
1.444219111124674555e+02 1.883934206432766323e-02 -3.322120985976414522e+05
1.455403827485584145e+02 -1.369361271933903709e-02 -3.322121311305962154e+05
1.466059033429181113e+02 -7.077559276863380940e-03 -3.322121245145428111e+05
1.474788558062384993e+02 -1.887161474601895331e-02 -3.322121363085982739e+05
1.485477327272664638e+02 -1.458510408974367754e-02 -3.322121320220875787e+05
1.493029751247829893e+02 4.275866956622512670e-03 -3.322121131611165474e+05
1.503684414950284065e+02 7.521932775324041351e-03 -3.322121099150507362e+05
1.514659199434168215e+02 -4.442539869570264442e-03 -3.322121218795233872e+05
1.524702453613281250e+02 -1.215225049093657857e-03 -3.322121186522085336e+05
1.535182606090198760e+02 6.965290867921077739e-03 -3.322121104716926347e+05
1.543914388882911908e+02 -7.155611690154856964e-03 -3.322121245925952098e+05
1.555003299055428272e+02 -1.254843295305624849e-02 -3.322121299854164827e+05
1.565437729779411882e+02 8.056248870550416705e-03 -3.322121093807346188e+05
